DatasetName                                     PROC_XSEC[pb]       Uncertainty[pb]     Accuracy
Signal_test                                     0.00081577775       unknown             unknown
TTToSemiLeptonic_test                           365.34	            17.54/22.29		    NNLO
Signal_600_150                                  0.01262864726       unknown             unknown
Signal_400_100                                  0.04477874562       unknown             unknown
Signal_400_200                                  0.03395530581       unknown             unknown
DYJetsToLL_PtZ-0To50                            1414.0              -                   [new1]NNLO*
DYJetsToLL_PtZ-3To50                            1414.0              -                   [new1]NNLO*
DYJetsToLL_PtZ-50To100                          378.97              -                   [new1]NNLO*
DYJetsToLL_PtZ-100To250                         93.1366             -                   [new1]NNLO*
DYJetsToLL_PtZ-250To400                         3.7093              -                   [new1]NNLO*
DYJetsToLL_PtZ-400To650                         0.5150              -                   [new1]NNLO*
DYJetsToLL_PtZ-650ToInf                         0.048934            -                   [new1]NNLO*
TTTo2L2Nu                                       88.51               -                   [new2]NNLO+NNLL
Source > > https://cms-gen-dev.cern.ch/xsdb/
Source[*] > > https://twiki.cern.ch/twiki/bin/viewauth/CMS/SummaryTable1G25ns
Source[**] > > https://twiki.cern.ch/twiki/bin/view/LHCPhysics/LHCHWG
Source[new1] > > https://twiki.cern.ch/twiki/bin/viewauth/CMS/StandardModelCrossSectionsat13TeV
Source[new2] > > https://twiki.cern.ch/twiki/bin/view/LHCPhysics/TtbarNNLO
Source[new3] > > https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SingleTopRefXsec
