DatasetName                                     PROC_XSEC[pb]       Uncertainty[pb]     Accuracy
Signal_test                                     0.00081577775       unknown             unknown
TTToSemiLeptonic_test                           365.34	            +17.54-22.29		NNLO
Signal_600_150                                  0.01262864726       unknown             unknown
Signal_400_100                                  0.04477874562       unknown             unknown
Signal_400_200                                  0.03395530581       unknown             unknown
Signal_500_100                                  0.02094114758       unknown             unknown
Signal_500_200                                  0.01931976527       unknown             unknown
Signal_500_300                                  0.01275722776       unknown             unknown
Signal_600_100                                  0.00995470304       unknown             unknown
Signal_600_200                                  0.00981176831       unknown             unknown
Signal_600_300                                  0.00861876644       unknown             unknown
Signal_600_400                                  0.00531642372       unknown             unknown
Signal_800_100                                  0.00260945689       unknown             unknown
Signal_800_200                                  0.00267848046       unknown             unknown
Signal_800_300                                  0.00259129377       unknown             unknown
Signal_800_400                                  0.00239304034       unknown             unknown
Signal_800_600                                  0.00118851440       unknown             unknown
Signal_1000_100                                 0.00081577775       unknown             unknown
Signal_1000_200                                 0.00083496561       unknown             unknown
Signal_1000_300                                 0.00081513973       unknown             unknown
Signal_1000_400                                 0.00080103474       unknown             unknown
Signal_1000_600                                 0.00071681937       unknown             unknown
Signal_1000_800                                 0.00034042023       unknown             unknown
Signal_200_100                                  0.04477874562       temporary           temporary
Signal_400_300                                  0.04477874562       temporary           temporary
Signal_500_400                                  0.04477874562       temporary           temporary
Signal_600_500                                  0.04477874562       temporary           temporary
Signal_800_700                                  0.04477874562       temporary           temporary
Signal_1000_900                                 0.04477874562       temporary           temporary
Signal_1400_100                                 0.04477874562       temporary           temporary
Signal_1400_400                                 0.04477874562       temporary           temporary
Signal_1400_600                                 0.04477874562       temporary           temporary
Signal_1400_1000                                0.04477874562       temporary           temporary
Signal_1400_1200                                0.04477874562       temporary           temporary
Signal_1400_1300                                0.04477874562       temporary           temporary
Signal_2000_100                                 0.04477874562       temporary           temporary
Signal_2000_400                                 0.04477874562       temporary           temporary
Signal_2000_600                                 0.04477874562       temporary           temporary
Signal_2000_1000                                0.04477874562       temporary           temporary
Signal_2000_1200                                0.04477874562       temporary           temporary
Signal_2000_1800                                0.04477874562       temporary           temporary
Signal_2000_1900                                0.04477874562       temporary           temporary
DYJetsToLL_PtZ-0To50                            1414.0              -                   [new1]NNLO*
DYJetsToLL_PtZ-3To50                            1414.0              -                   [new1]NNLO*
DYJetsToLL_PtZ-50To100                          378.97              -                   [new1]NNLO*
DYJetsToLL_PtZ-100To250                         93.1366             -                   [new1]NNLO*
DYJetsToLL_PtZ-250To400                         3.7093              -                   [new1]NNLO*
DYJetsToLL_PtZ-400To650                         0.5150              -                   [new1]NNLO*
DYJetsToLL_PtZ-650ToInf                         0.048934            -                   [new1]NNLO*
DYJetsToLL_M10to50                              15890.0	            24.94               LO
DYJetsToLL_Pt-Inclusive                         6077.22             122.45/122.45       [new1]NNLO
DYJetsToLL_Pt-0To3                              6077.22             122.45/122.45       [new1]NNLO
DYJetsToLL_Pt-50To100                           398.8	            2.664               unknown
DYJetsToLL_Pt-100To250                          93.61	            0.6145              unknown
DYJetsToLL_Pt-250To400                          3.67	            0.02248             unknown
DYJetsToLL_Pt-400To650                          0.5	                0.002869	        unknown
DYJetsToLL_Pt-650ToInf                          0.04704	            0.0002513           unknown
DYJetsToLL_HT-Inclusive                         6077.22	            121.54/121.54       NNLO
DYJetsToLL_HT-70to100                           146.5	            0.4195		        LO
DYJetsToLL_HT-100to200                          160.7	            0.4703		        LO    
DYJetsToLL_HT-200to400                          48.63	            0.1441		        LO
DYJetsToLL_HT-400to600                          6.993	            0.0209		        LO
DYJetsToLL_HT-600to800                          1.761	            0.005281		    LO
DYJetsToLL_HT-800to1200                         0.8021	            0.002418		    LO
DYJetsToLL_HT-1200to2500                        0.1937	            0.0005863		    LO
DYJetsToLL_HT-2500toInf                         0.003514	        1.087e-05		    LO
TTTo2L2Nu                                       88.51               -                   [new2]NNLO+NNLL
TTToSemiLeptonic                                366.29              -                   [new2]NNLO+NNLL
xsdb-ST_tW_top                                  32.45	            0.02338		        NLO
xsdb-ST_tW_antitop                              32.51	            0.02346             NLO
xsdb-ST_t-channel_top                           119.7	            0.2166		        NLO
xsdb-ST_t-channel_antitop                       71.74	            0.1193		        NLO
xsdb-ST_s-channel                               3.549	            0.002988	        unknown
ST_tW_top                                       35.85               +1.92-1.92          [new3]NLO
ST_tW_antitop                                   35.85               +1.92-1.92          [new3]NLO
ST_t-channel_top                                136.02              +7.72-6.56          [new3]NLO
ST_t-channel_antitop                            80.95               +5.79-5.16          [new3]NLO
ST_s-channel                                    10.32               +0.20-0.18          [new3]NLO
